Timestamp,DL_bitrate
2017.11.25_12.15.26,8410
2017.11.25_12.15.27,7873
2017.11.25_12.15.27,7873
2017.11.25_12.15.28,4529
2017.11.25_12.15.29,5043
2017.11.25_12.15.30,9539
2017.11.25_12.15.30,9539
2017.11.25_12.15.31,7437
2017.11.25_12.15.32,9562
2017.11.25_12.15.33,9562
2017.11.25_12.15.33,5749
2017.11.25_12.15.34,6967
2017.11.25_12.15.35,6374
2017.11.25_12.15.36,6374
2017.11.25_12.15.36,8197
2017.11.25_12.15.38,5580
2017.11.25_12.15.39,3097
2017.11.25_12.15.39,3097
2017.11.25_12.15.40,4988
2017.11.25_12.15.41,3925
2017.11.25_12.15.42,3847
2017.11.25_12.15.42,3847
2017.11.25_12.15.43,3769
2017.11.25_12.15.44,3590
2017.11.25_12.15.45,3590
2017.11.25_12.15.45,2907
2017.11.25_12.15.46,4071
2017.11.25_12.15.47,6285
2017.11.25_12.15.48,6285
2017.11.25_12.15.48,5469
2017.11.25_12.15.49,2494
2017.11.25_12.15.51,3098
2017.11.25_12.15.51,3098
2017.11.25_12.15.52,3110
2017.11.25_12.15.53,9652
2017.11.25_12.15.54,10580
2017.11.25_12.15.54,10580
2017.11.25_12.15.55,9953
2017.11.25_12.15.56,8958
2017.11.25_12.15.57,8958
2017.11.25_12.15.57,8276
2017.11.25_12.15.58,4988
2017.11.25_12.15.59,4607
2017.11.25_12.16.00,4607
2017.11.25_12.16.01,7293
2017.11.25_12.16.02,4127
2017.11.25_12.16.03,4792
2017.11.25_12.16.03,4792
2017.11.25_12.16.04,1755
2017.11.25_12.16.05,615
2017.11.25_12.16.06,300
2017.11.25_12.16.06,300
2017.11.25_12.16.07,4563
2017.11.25_12.16.08,6542
2017.11.25_12.16.09,6542
2017.11.25_12.16.09,4305
2017.11.25_12.16.10,4742
2017.11.25_12.16.11,3522
2017.11.25_12.16.12,3522
2017.11.25_12.16.13,8008
2017.11.25_12.16.14,8600
2017.11.25_12.16.15,3299
2017.11.25_12.16.15,3299
2017.11.25_12.16.16,1040
2017.11.25_12.16.17,1163
2017.11.25_12.16.18,514
2017.11.25_12.16.18,514
2017.11.25_12.16.19,300
2017.11.25_12.16.20,1297
2017.11.25_12.16.21,1297
2017.11.25_12.16.21,3624
2017.11.25_12.16.22,3558
2017.11.25_12.16.23,4585
2017.11.25_12.16.24,4585
2017.11.25_12.16.25,3435
2017.11.25_12.16.26,300
2017.11.25_12.16.27,1588
2017.11.25_12.16.27,1588
2017.11.25_12.16.28,3142
2017.11.25_12.16.29,2630
2017.11.25_12.16.30,1096
2017.11.25_12.16.30,1096
2017.11.25_12.16.31,895
2017.11.25_12.16.32,1778
2017.11.25_12.16.33,1778
2017.11.25_12.16.33,2259
2017.11.25_12.16.34,2763
2017.11.25_12.16.35,2333
2017.11.25_12.16.36,2333
2017.11.25_12.16.37,2494
2017.11.25_12.16.38,2281
2017.11.25_12.16.39,3073
2017.11.25_12.16.39,3073
2017.11.25_12.16.40,2471
2017.11.25_12.16.41,1912
2017.11.25_12.16.42,2102
2017.11.25_12.16.42,2102
2017.11.25_12.16.43,950
2017.11.25_12.16.44,637
2017.11.25_12.16.45,637
2017.11.25_12.16.45,771
2017.11.25_12.16.46,671
2017.11.25_12.16.47,391
2017.11.25_12.16.48,391
2017.11.25_12.16.48,300
2017.11.25_12.16.50,424
2017.11.25_12.16.51,402
2017.11.25_12.16.51,402
2017.11.25_12.16.52,357
2017.11.25_12.16.53,300
2017.11.25_12.16.54,2136
2017.11.25_12.16.54,2136
2017.11.25_12.16.55,3160
2017.11.25_12.16.56,2989
2017.11.25_12.16.57,300
2017.11.25_12.16.57,300
2017.11.25_12.16.58,300
2017.11.25_12.16.59,2851
2017.11.25_12.17.00,2851
2017.11.25_12.17.01,3924
2017.11.25_12.17.02,3179
2017.11.25_12.17.03,2863
2017.11.25_12.17.03,2863
2017.11.25_12.17.04,2998
2017.11.25_12.17.05,4179
2017.11.25_12.17.06,3300
2017.11.25_12.17.06,3300
2017.11.25_12.17.07,5201
2017.11.25_12.17.08,1901
2017.11.25_12.17.09,1901
2017.11.25_12.17.09,3031
2017.11.25_12.17.10,2159
2017.11.25_12.17.11,4227
2017.11.25_12.17.12,4227
2017.11.25_12.17.13,4028
2017.11.25_12.17.14,2024
2017.11.25_12.17.15,2952
2017.11.25_12.17.15,2952
2017.11.25_12.17.16,3970
2017.11.25_12.17.17,3904
2017.11.25_12.17.18,7304
2017.11.25_12.17.18,7304
2017.11.25_12.17.19,7349
2017.11.25_12.17.20,9395
2017.11.25_12.17.21,9395
2017.11.25_12.17.21,7663
2017.11.25_12.17.22,5861
2017.11.25_12.17.23,4647
2017.11.25_12.17.24,4647
2017.11.25_12.17.24,4350
2017.11.25_12.17.26,4341
2017.11.25_12.17.27,5021
2017.11.25_12.17.27,5021
2017.11.25_12.17.28,4563
2017.11.25_12.17.29,4261
2017.11.25_12.17.30,4798
2017.11.25_12.17.30,4798
2017.11.25_12.17.31,4306
2017.11.25_12.17.32,3691
2017.11.25_12.17.33,3691
2017.11.25_12.17.33,3657
2017.11.25_12.17.34,4206
2017.11.25_12.17.35,5492
2017.11.25_12.17.36,5492
2017.11.25_12.17.36,6557
2017.11.25_12.17.38,6109
2017.11.25_12.17.39,4318
2017.11.25_12.17.39,4318
2017.11.25_12.17.40,1867
2017.11.25_12.17.41,581
2017.11.25_12.17.42,3628
2017.11.25_12.17.42,3628
2017.11.25_12.17.43,4343
2017.11.25_12.17.44,828
2017.11.25_12.17.45,1230
2017.11.25_12.17.45,1230
2017.11.25_12.17.46,1767
2017.11.25_12.17.47,3579
2017.11.25_12.17.48,3579
2017.11.25_12.17.48,3489
2017.11.25_12.17.49,2583
2017.11.25_12.17.51,1297
2017.11.25_12.17.51,1297
2017.11.25_12.17.52,581
2017.11.25_12.17.53,300
2017.11.25_12.17.54,300
2017.11.25_12.17.54,300
2017.11.25_12.17.55,2684
2017.11.25_12.17.56,1992
2017.11.25_12.17.57,1992
2017.11.25_12.17.57,1879
2017.11.25_12.17.58,1845
2017.11.25_12.17.59,2103
2017.11.25_12.18.00,2103
